Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","是 响 全部 闹钟 到","1","4","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","是 运行 一切","1","3","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","是 开 起来 一切 闹钟","1","3","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","好 启用 一切 闹铃","1","5","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","好 工作 一切 闹钟 到","1","5","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","好 打开 一切 闹钟 到","1","5","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","可以 启用","1","3","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","可以 工作 闹钟","1","3","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","可以 打开 闹铃","1","4","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","行 开 闹钟 到","1","4","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","行 开 着 闹钟 到","1","4","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","行 启动 所有","1","3","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","ok 开启 所有 闹钟","1","2","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","ok 闹 所有 闹铃","1","4","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","ok 开始 所有 闹钟 到","1","4","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","ok 激活 所有 闹钟 到","1","4","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","yes 响 全部","1","4","","V24-G7B"
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","","yes 运行 全部 闹钟","1","4","","V24-G7B"
