Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","选 下 名单 <appointment_list_number>","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","选 一下 <appointment_list>","1","2","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","帮助 我 选取 出来 <appointment_list_ordinal> 个","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","帮 我 选取 出 <appointment_list_number>","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","给 我 选取 一下 <appointment_list_ordinal> 个 列表","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","让 我 选取 列表 <appointment_list_number>","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","给 我 选择 出 <appointment_list_ordinal> 个 名单","1","2","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","请 选择 下 名单 <appointment_list_number>","1","2","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","请 帮助 我 选择 一下 <appointment_list>","1","1","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","请 帮 我 展现 出来 <appointment_list_ordinal> 个","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","请 给 我 展现 出 <appointment_list_number>","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","请 让 我 展现 一下 <appointment_list_ordinal> 个 列表","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","请 给 我 展现 列表 <appointment_list_number>","1","2","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能否 展示 出 <appointment_list_ordinal> 个 名单","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能否 帮助 我 展示 下 名单 <appointment_list_number>","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能否 帮 我 展示 一下 <appointment_list>","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能否 给 我 显示 出来 <appointment_list_ordinal> 个","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能否 让 我 显示 出 <appointment_list_number>","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能否 给 我 显示 一下 <appointment_list_ordinal> 个 列表","1","2","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能不能 显示 列表 <appointment_list_number>","1","2","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能不能 选 出 <appointment_list_ordinal> 个 名单","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能不能 帮助 我 选 下 名单 <appointment_list_number>","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能不能 帮 我 选 一下 <appointment_list>","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能不能 给 我 选取 出来 <appointment_list_ordinal> 个","1","5","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能不能 让 我 选取 出 <appointment_list_number>","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能不能 给 我 选取 一下 <appointment_list_ordinal> 个 列表","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","可以 选取 列表 <appointment_list_number>","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","可以 帮助 我 选择 出 <appointment_list_ordinal> 个 名单","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","可以 帮 我 选择 下 名单 <appointment_list_number>","1","4","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","可以 给 我 选择 一下 <appointment_list>","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","可以 让 我 展现 出来 <appointment_list_ordinal> 个","1","5","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","可以 给 我 展现 出 <appointment_list_number>","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","可以 不 可以 展现 一下 <appointment_list_ordinal> 个 列表","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","可以 不 可以 帮助 我 展现 列表 <appointment_list_number>","1","3","","FW4-96L"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","能不能 告诉 我 <appointment_list_ordinal> 个 列表","1","2","","TH4-J7Z"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","想 要 知道 列表 <appointment_list_number>","1","2","","TH4-J7Z"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","最好 知道 <appointment_list_ordinal> 个 名单","1","3","","TH4-J7Z"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","需要 看 名单 <appointment_list_number>","1","3","","TH4-J7Z"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","我 要 看 一 看 <appointment_list>","1","3","","TH4-J7Z"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","我 想 要 看 一 看 <appointment_list>","1","4","","TH4-J7Z"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","我 必须 看 看 <appointment_list_ordinal> 个 列表","1","4","","TH4-J7Z"
"Calendar","1.0","Unknown","Unknown",True,"List","List - Select by Subject","","俺 希望 看 列表 <appointment_list_number>","1","4","","TH4-J7Z"
