Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","","记事 建","1","3","","81V-8C7"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","创建 一个 名为 <memo_title> 备注","0","2","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","创建 一 名为 <memo_title> 备注","0","3","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","建 一个 名为 <memo_title> 备注","0","3","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","建 一 名为 <memo_title> 备注","0","4","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","加 一个 题目 <memo_title> 的 记事","0","2","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","加 一 题目 <memo_title> 的 记事","0","3","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","写 一个 题目 <memo_title> 的 记事","0","2","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","写 一 题目 <memo_title> 的 记事","0","3","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","编写 一个 题目 <memo_title> 的 记事","0","2","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","编写 一 题目 <memo_title> 的 记事","0","3","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","新建 一个 题目 <memo_title> 的 记事","0","2","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","新建 一 题目 <memo_title> 的 记事","0","3","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","添加 为 <memo_title> 备注","0","3","","DP7-14Q"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","创建 主题 为 <memo_title> 的 备注","1","4","","VZZ-YFT"
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo by Title","","创建 一个 名称 名叫 <memo_title> 便 签","1","4","","VZZ-YFT"
