Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"News","1.0","Unknown","Unknown",True,"News","News Catch","","新闻","0","0","","MHQ-C6J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","看 看 新闻","1","1","","7N8-98G"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","看 一 看 新闻","1","2","","7N8-98G"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 读 新闻","1","2","","7N8-98G"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 一 读 新闻","1","2","","7N8-98G"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","看 新闻","1","2","","7N8-98G"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 新闻","1","2","","7N8-98G"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 新闻","1","1","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 一些 新闻","1","1","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 些 新闻","1","2","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 点 新闻","1","2","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 一点 新闻","1","2","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 新闻","1","1","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 一些 新闻","1","1","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 些 新闻","1","2","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 点 新闻","1","2","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 一点 新闻","1","2","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 新闻","1","1","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 一些 新闻","1","1","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 些 新闻","1","2","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 点 新闻","1","2","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 一点 新闻","1","2","","DW8-M1J"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 看 本地 新闻","0","0","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 看 当地 新闻","0","1","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 一 看 本地 新闻","0","1","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 一 看 当地 新闻","0","2","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 读 本地 新闻","0","1","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 读 当地 新闻","0","2","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 一 读 本地 新闻","0","1","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 一 读 当地 新闻","0","2","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 本地 新闻","0","1","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 当地 新闻","0","2","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 本地 新闻","0","1","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 当地 新闻","0","2","","ZY4-VMF"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","来 本地 新闻","1","1","","LXL-H6H"
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","来 当地 新闻","1","2","","LXL-H6H"
