Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","查询 一家儿 旁边 地 <poi_categories>","1","5","","3M4-CRM"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","搜索 一家 旁边 地 <poi_categories>","1","6","","3M4-CRM"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","筛选 旁边 地 <poi_categories>","1","4","","3M4-CRM"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","附近 的 <poi_categories> 筛选 家儿","2","5","","S6X-KRX"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","周围 的 <poi_categories> 查 一家","2","3","","S6X-KRX"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","周围 得 <poi_categories> 选择 家儿","2","8","","S6X-KRX"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","旁边 得 <poi_categories> 搜索 一家","2","8","","S6X-KRX"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","离 附近 离 最近 的 地 <localbusiness_followup>","3","9","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","选 附近 最近 地 <localbusiness_followup>","3","5","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","选 距离 距离 最近 地 <localbusiness_followup>","3","6","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","挑选 旁边 距离 我 最近 的 地 <localbusiness_followup>","3","10","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","挑选 距离 旁边 最近 的 地 <localbusiness_followup>","3","7","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","筛选 离 周围 距离 最近 的 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","选择 附近 离 我 最近 的 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","选择 距离 离 最近 的 地 <localbusiness_followup>","3","12","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 离 最近 地 <localbusiness_followup>","3","6","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 距离 旁边 距离 最近 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 选 离 周围 距离 我 最近 的 地 <localbusiness_followup>","3","9","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 挑选 周围 最近 的 地 <localbusiness_followup>","3","6","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 挑选 距离 附近 距离 最近 的 地 <localbusiness_followup>","3","10","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 筛选 离 离 我 最近 的 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 筛选 距离 旁边 离 最近 的 地 <localbusiness_followup>","3","13","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 选择 离 旁边 最近 地 <localbusiness_followup>","3","9","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","要 周围 距离 最近 地 <localbusiness_followup>","3","5","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","要 距离 附近 距离 我 最近 的 地 <localbusiness_followup>","3","9","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","要 选 离 附近 最近 的 地 <localbusiness_followup>","3","4","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","要 挑选 距离 最近 的 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","要 挑选 离 旁边 离 我 最近 的 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","要 筛选 周围 离 最近 的 地 <localbusiness_followup>","3","10","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","要 筛选 距离 周围 最近 地 <localbusiness_followup>","3","7","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","要 选择 离 附近 距离 最近 地 <localbusiness_followup>","3","7","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 要 距离 我 最近 的 地 <localbusiness_followup>","3","9","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 要 距离 最近 的 地 <localbusiness_followup>","3","6","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 要 选 旁边 距离 最近 的 地 <localbusiness_followup>","3","9","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 要 选 距离 周围 离 我 最近 的 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 要 挑选 离 附近 离 最近 的 地 <localbusiness_followup>","3","11","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 要 筛选 附近 最近 地 <localbusiness_followup>","3","7","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 要 筛选 距离 距离 最近 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 要 选择 旁边 距离 我 最近 的 地 <localbusiness_followup>","3","12","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","想 要 选择 距离 旁边 最近 的 地 <localbusiness_followup>","3","9","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 离 周围 距离 最近 的 地 <localbusiness_followup>","3","7","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 选 附近 离 我 最近 的 地 <localbusiness_followup>","3","6","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 选 距离 离 最近 的 地 <localbusiness_followup>","3","10","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 挑选 离 最近 地 <localbusiness_followup>","3","6","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 挑选 距离 旁边 距离 最近 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 筛选 离 周围 距离 我 最近 的 地 <localbusiness_followup>","3","9","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","最近 的 的 <poi_categories> 下儿","3","4","","NLL-3XC"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 选择 离 附近 最近 的 得 <localbusiness_followup>","3","7","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","最近 的 地 <poi_categories> 选 一个","3","5","","NLL-3XC"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 选择 距离 旁边 距离 我 最近 的 的 <localbusiness_followup>","3","11","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","最近 的 得 <poi_categories> 挑选 个","3","7","","NLL-3XC"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 想 离 周围 距离 最近 的 的 <localbusiness_followup>","3","7","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 想 距离 附近 距离 我 最近 的 的 <localbusiness_followup>","3","9","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 想 选 旁边 最近 的 得 <localbusiness_followup>","3","7","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 想 选 距离 附近 离 我 最近 的 地 <localbusiness_followup>","3","8","","3PT-X3S"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","最近 地 <poi_categories> 家儿","3","7","","NLL-3XC"
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","","我 想 挑选 离 距离 最近 的 得 <localbusiness_followup>","3","10","","3PT-X3S"
