Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","试 <searchengines> 看 下","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","看 看 <searchengines> 试用","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","看 一 看 <searchengines> 试下","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","查找 <searchengines> 找","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","找 一 找 <searchengines> 搜到","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","查 <searchengines> 查 查","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","想 查 <searchengines> 搜 一 搜","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","去 找 <searchengines>","0","1","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","换 <searchengines> 看 一下","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","换个 <searchengines> 试 试","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","进 <searchengines> 去 找","0","2","","8N2-3QW"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Search Term Option","","最好 理解 <searchterms>","1","3","","1Y5-LCX"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Search Term Option","","也 试 一 试 <searchterms>","1","3","","1Y5-LCX"
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Search Term Option","","那 再 想 知道 <searchterms>","1","2","","1Y5-LCX"
