Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","暂停","0","0","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","暂停 会话","0","0","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","中止","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","中止 会话","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","暂时 停止","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","暂时 停止 会话","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 暂停","0","0","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 暂停 会话","0","0","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 中止","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 中止 会话","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 暂时 停止","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 暂时 停止 会话","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能否 暂停","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能否 暂停 会话","0","1","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能否 中止","0","2","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能否 中止 会话","0","2","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能否 暂时 停止","0","2","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能否 暂时 停止 会话","0","2","","PYM-BK6"
"System","96.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能不能 暂停","0","1","","PYM-BK6"
