Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <common_names> 电话号码","1","2","","9TZ-QSG"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <lastnames> 的 电话","1","1","","9TZ-QSG"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打 <firstnames> 的 号码","1","3","","9TZ-QSG"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <contacts> 的 电话号码","1","3","","9TZ-QSG"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","致电 <contacts> 电话","1","2","","9TZ-QSG"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接通 <common_names> 号码","1","3","","9TZ-QSG"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接通 <lastnames> 电话号码","1","3","","9TZ-QSG"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接 <firstnames> 的 电话","1","2","","9TZ-QSG"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","呼叫 <common_names> <phonetypes> 电话号码","0","1","","59M-RPD"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","呼叫 <lastnames> 的 <phonetypes> 电话","0","0","","59M-RPD"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","拨打 <firstnames> 的 <phonetypes> 号码","0","2","","59M-RPD"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","打电话 <contacts> 的 <phonetypes> 电话号码","1","2","","2WP-KQ5"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","拨 打电话 <contacts> <phonetypes> 电话","1","2","","2WP-KQ5"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","给 <common_names> <phonetypes> 电话 拨 打电话","1","2","","KQR-CKX"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","给 <contacts> 的 <phonetypes> 号码 打电话","1","2","","KQR-CKX"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","给 <lastnames> <phonetypes> 号码 拨 打电话","1","3","","KQR-CKX"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","拨打 <contacts> 的 <phonetypes> 号码","1","2","","DM2-Z6T"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","打 <common_names> 的 <phonetypes> 电话号码","1","3","","DM2-Z6T"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","呼叫 <common_names> <phonetypes> 电话","1","2","","DM2-Z6T"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","呼叫 <lastnames> <phonetypes> 号码","1","3","","DM2-Z6T"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","致电 <firstnames> <phonetypes> 电话号码","1","3","","DM2-Z6T"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","接通 <contacts> 的 <phonetypes> 电话","1","2","","DM2-Z6T"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","接 <common_names> 的 <phonetypes> 号码","1","3","","DM2-Z6T"
"HFD","2.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name And Type","","接 <lastnames> 的 <phonetypes> 电话号码","1","3","","DM2-Z6T"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","发 短信 给 <firstnames>","1","2","","K5R-9JC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","发 一个 短 消息 给 <contacts>","1","1","","K5R-9JC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","发送 文字 信息 给 <common_names>","1","3","","K5R-9JC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","发送 一个 短 消息 给 <lastnames>","1","2","","K5R-9JC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","短信 <firstnames>","1","2","","N81-1LJ"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","<common_names> 发 个 文字 信息","1","2","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","<contacts> 发 一个 短 消息","1","1","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","<firstnames> 发 一个 短信","1","2","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","<lastnames> 发 一个 文字 信息","1","2","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","给 <common_names> 发送 短 消息","1","2","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","给 <contacts> 发送 短信","1","3","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","给 <firstnames> 发送 文字 信息","1","3","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","给 <lastnames> 发送 个 短 消息","1","2","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","向 <common_names> 发送 个 短信","1","3","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","向 <contacts> 发送 个 文字 信息","1","3","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","向 <firstnames> 发送 一个 短 消息","1","2","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name","","向 <lastnames> 发送 一个 短信","1","3","","L5V-R9R"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number","","发送 个 短 消息 给 <hfd_phone_number>","1","2","","PQZ-PMW"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number","","<hfd_phone_number> 发 一个 短信","1","2","","XPW-433"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number","","给 <hfd_phone_number> 发 一个 文字 信息","1","2","","XPW-433"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number","","向 <hfd_phone_number> 发送 短 消息","1","2","","XPW-433"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","短 消息 给 <contacts> 内容 <hfd_sms_dictation>","1","1","","ZFD-G8F"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","短信 给 <firstnames> 说 <hfd_sms_dictation>","1","2","","ZFD-G8F"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","<common_names> 内容 <hfd_sms_dictation>","0","0","","ZLG-NFJ"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发 短 消息 给 <contacts> 说 <hfd_sms_dictation>","1","1","","P3W-TSH"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发 文字 信息 给 <lastnames> 内容 <hfd_sms_dictation>","1","2","","P3W-TSH"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发 个 文字 信息 给 <common_names> 说 <hfd_sms_dictation>","1","2","","P3W-TSH"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发 一个 短信 给 <firstnames> 内容 <hfd_sms_dictation>","1","2","","P3W-TSH"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发送 短 消息 给 <lastnames> 说 <hfd_sms_dictation>","1","2","","P3W-TSH"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发送 个 短 消息 给 <contacts> 内容 <hfd_sms_dictation>","1","2","","P3W-TSH"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发送 个 文字 信息 给 <firstnames> 说 <hfd_sms_dictation>","1","3","","P3W-TSH"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发送 一个 文字 信息 给 <common_names> 内容 <hfd_sms_dictation>","1","3","","P3W-TSH"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发 内容 <hfd_sms_dictation> 文字 信息 给 <lastnames>","1","2","","VVB-2Y5"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发 个 内容 <hfd_sms_dictation> 短信 给 <firstnames>","1","2","","VVB-2Y5"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发 一个 内容 <hfd_sms_dictation> 短 消息 给 <contacts>","1","1","","VVB-2Y5"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发 一个 内容 <hfd_sms_dictation> 的 文字 信息 给 <common_names>","1","2","","VVB-2Y5"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发送 内容 <hfd_sms_dictation> 的 短 消息 给 <lastnames>","1","2","","VVB-2Y5"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发送 个 内容 <hfd_sms_dictation> 文字 信息 给 <firstnames>","1","3","","VVB-2Y5"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Name and Body","","发送 一个 内容 <hfd_sms_dictation> 短信 给 <contacts>","1","3","","VVB-2Y5"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","内容 为 <hfd_sms_dictation> 的 短 消息 给 <hfd_phone_number>","1","1","","CLK-SM7"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","<hfd_phone_number> 发 文字 信息 说 <hfd_sms_dictation> 的 短信","1","3","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","<hfd_phone_number> 发 一个 文字 信息 说 <hfd_sms_dictation> 的 文字 信息","1","3","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","<hfd_phone_number> 发送 短 消息 内容 为 <hfd_sms_dictation> 的 短 消息","1","2","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","<hfd_phone_number> 发送 一个 短 消息 内容 为 <hfd_sms_dictation> 的 短信","1","3","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","<hfd_phone_number> 发送 个 短 消息 内容 为 <hfd_sms_dictation> 的 文字 信息","1","3","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","给 <hfd_phone_number> 发 短 消息 说 <hfd_sms_dictation> 的 短 消息","1","1","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","给 <hfd_phone_number> 发 一个 短 消息 说 <hfd_sms_dictation> 的 短信","1","2","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","给 <hfd_phone_number> 发 个 短 消息 说 <hfd_sms_dictation> 的 文字 信息","1","2","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","给 <hfd_phone_number> 发送 短信 内容 为 <hfd_sms_dictation> 的 短 消息","1","3","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","给 <hfd_phone_number> 发送 一个 短信 内容 为 <hfd_sms_dictation> 的 短信","1","4","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","给 <hfd_phone_number> 发送 个 短信 内容 为 <hfd_sms_dictation> 的 文字 信息","1","4","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","向 <hfd_phone_number> 发 短信 说 <hfd_sms_dictation> 的 短 消息","1","2","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","向 <hfd_phone_number> 发 一个 短信 说 <hfd_sms_dictation> 的 短信","1","3","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","向 <hfd_phone_number> 发 个 短信 说 <hfd_sms_dictation> 的 文字 信息","1","3","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","向 <hfd_phone_number> 发送 文字 信息 内容 为 <hfd_sms_dictation> 的 短 消息","1","3","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","向 <hfd_phone_number> 发送 一个 文字 信息 内容 为 <hfd_sms_dictation> 的 短信","1","4","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Number and Body","","向 <hfd_phone_number> 发送 个 文字 信息 内容 为 <hfd_sms_dictation> 的 文字 信息","1","4","","TTY-YB1"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group","","发 短 消息 给 <groups> 群组","0","1","","N41-MKR"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group","","发 一个 文字 信息 给 <groups> 群","0","1","","N41-MKR"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group","","发送 短信 给 <groups>","0","2","","N41-MKR"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group","","发送 一个 文字 信息 给 <groups> 组","0","3","","N41-MKR"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group","","给 <groups> 发 个 短 消息","1","1","","VMT-91X"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group","","给 <groups> 群 发 个 短信","1","2","","VMT-91X"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group","","给 <groups> 群组 发 个 文字 信息","1","3","","VMT-91X"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group","","给 <groups> 组 发送 短 消息","1","3","","VMT-91X"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发 短 消息 内容 为 <hfd_sms_dictation> 的 文字 信息 给 <groups> 群","0","1","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发 文字 信息 内容 为 <hfd_sms_dictation> 的 短信 给 <groups>","0","2","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发 一个 短 消息 内容 为 <hfd_sms_dictation> 的 文字 信息 给 <groups> 组","0","2","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发 一个 文字 信息 内容 为 <hfd_sms_dictation> 的 短信 给 <groups> 群组","0","3","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发 个 短信 内容 为 <hfd_sms_dictation> 的 短 消息 给 <groups> 群","0","1","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发 个 文字 信息 内容 为 <hfd_sms_dictation> 的 文字 信息 给 <groups>","0","2","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发送 短信 内容 为 <hfd_sms_dictation> 的 短 消息 给 <groups> 组","0","3","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发送 文字 信息 内容 为 <hfd_sms_dictation> 的 文字 信息 给 <groups> 群组","0","4","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发送 一个 短信 内容 为 <hfd_sms_dictation> 的 短信 给 <groups> 群","0","3","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发送 个 短 消息 内容 为 <hfd_sms_dictation> 的 短 消息 给 <groups>","0","1","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","发送 个 短信 内容 为 <hfd_sms_dictation> 的 短信 给 <groups> 组","0","4","","DLD-9BC"
"HFD","2.0","Unknown","Unknown",True,"SMS Home","SMS Home - By Group and Body","","给 <groups> 发 短 消息 内容 为 <hfd_sms_dictation> 的 文字 信息","1","2","","945-8SQ"
