Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Launch Apps","1.0","Unknown","Unknown",False,"Launch Apps","Help - Launch Apps","","","","","","2LZ-M58"
"Launch Apps","1.0","Unknown","Unknown",False,"Launch Apps","Unsupported - Launch Category","","","","","","V6L-XCP"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 <common_apps>","0","0","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 <common_apps> 程序","0","1","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 <common_apps> 软件","0","1","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 应用 <common_apps>","0","0","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 应用 <common_apps> 程序","0","1","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 应用 <common_apps> 软件","0","1","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 程序 <common_apps>","0","1","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 程序 <common_apps> 程序","0","2","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 程序 <common_apps> 软件","0","2","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 应用 程序 <common_apps>","0","1","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 应用 程序 <common_apps> 程序","0","2","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 应用 程序 <common_apps> 软件","0","2","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 软件 <common_apps>","0","1","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 软件 <common_apps> 程序","0","2","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 软件 <common_apps> 软件","0","2","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 应用 软件 <common_apps>","0","1","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 应用 软件 <common_apps> 程序","0","2","","VZM-R1M"
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Common","","打开 应用 软件 <common_apps> 软件","0","2","","VZM-R1M"
