Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Music","1.0","Unknown","Unknown",True,"Details","Details - Artist User","","放 艺人 <music_artists_user> 的 歌","0","3","","S86-2BY"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Artist User","","放 一下 音乐家 <music_artists_user>","0","2","","S86-2BY"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album Popular","","播放 <music_albums_popular>","0","0","","DH8-L6B"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album User","","放 一 放 音乐家 的 列表 <music_albums_user>","0","3","","GX5-KT1"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album User","","艺人 专辑 <music_albums_user> 听 一下","1","3","","3H6-ZDC"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album User","","音乐家 专辑 <music_albums_user> 放","1","3","","3H6-ZDC"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Album","","播放 <music_artists_popular> 列表 <music_albums_user>","0","1","","R97-PDM"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Album","","放 歌手 <music_artists_user> 的 列表 <music_albums_user>","0","3","","R97-PDM"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Album","","放 一下 <music_artists_user> 列表 <music_albums_user>","0","2","","R97-PDM"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Album","","<music_artists_popular> 的 唱片 <music_albums_user> 听 一 听","1","4","","4HN-BVH"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Album","","艺人 <music_artists_popular> 的 唱片 <music_albums_user> 播放","1","2","","4HN-BVH"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Album","","歌手 <music_artists_popular> 的 音乐 专辑 <music_albums_user> 放 一下","1","4","","4HN-BVH"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Album","","音乐家 <music_artists_popular> 的 专辑 <music_albums_user> 听 一下","1","4","","4HN-BVH"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Album","","歌星 <music_artists_popular> 的 专辑 <music_albums_user> 放","1","3","","4HN-BVH"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","播放 曲子 <music_songs_user>","0","2","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","播放 艺人 歌 <music_songs_user> 放","0","3","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","播放 歌手 的 歌曲 <music_songs_user> 放 一下","0","3","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","播放 音乐家 的 音乐 <music_songs_user> 听 一 听","0","5","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 音乐 <music_songs_user> 听 听","0","3","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 艺人 音乐 <music_songs_user> 播放","0","3","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 歌手 的 音乐 <music_songs_user> 放 一 放","0","3","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 音乐家 的 乐曲 <music_songs_user> 听","0","5","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 一 放 <music_songs_user> 听 一下","0","3","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 一 放 艺人 乐曲 <music_songs_user>","0","3","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 一 放 歌手 的 <music_songs_user> 放","0","3","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 一 放 音乐家 的 曲子 <music_songs_user> 放 一下","0","5","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 一 放 歌星 的 歌 <music_songs_user> 听 一 听","0","6","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 一下 艺人 歌曲 <music_songs_user> 听 听","0","4","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 一下 歌手 歌 <music_songs_user> 播放","0","4","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 一下 音乐家 的 歌曲 <music_songs_user> 放 一 放","0","4","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song User","","放 一下 歌星 的 音乐 <music_songs_user> 听","0","5","","47M-Y3J"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Song","","放 一 放 <music_artists_popular> 歌曲 <music_songs_user>","0","2","","M8Y-XDW"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Song","","<music_artists_popular> 音乐 <music_songs_user> 听 听","1","3","","KC9-QQ9"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Song","","艺人 <music_artists_popular> 音乐 <music_songs_user> 播放","1","3","","KC9-QQ9"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Song","","歌手 <music_artists_popular> 的 音乐 <music_songs_user> 放 一 放","1","3","","KC9-QQ9"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Song","","音乐家 <music_artists_popular> 的 乐曲 <music_songs_user> 听","1","5","","KC9-QQ9"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre Popular","","<music_genres_popular> 听 一下","1","3","","3QN-VBJ"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre User","","放 艺人 <music_genres_user> 的 音乐 专辑","0","2","","9ZF-254"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre User","","放 一 放 音乐家 <music_genres_user> 的 唱片","0","3","","9ZF-254"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre User","","<music_genres_user> 专辑 听 一 听","1","3","","PJ3-8QB"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre User","","<music_genres_user> 的 曲子 听 听","1","5","","PJ3-8QB"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre User","","艺人 <music_genres_user> 的 唱片 播放","1","2","","PJ3-8QB"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre User","","歌手 <music_genres_user> 音乐 放 一 放","1","5","","PJ3-8QB"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre User","","音乐家 <music_genres_user> 列表 听","1","4","","PJ3-8QB"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre User","","音乐家 <music_genres_user> 的 歌 听 一下","1","6","","PJ3-8QB"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Genre User","","歌星 <music_genres_user> 的 歌曲","1","3","","PJ3-8QB"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Artist","","放 歌星 <music_artists_user> 唱片 <music_albums_popular>","0","3","","38N-FYV"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Artist","","<music_artists_user> 的 专辑 <music_albums_popular> 播放","1","1","","HCG-DJT"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Artist","","歌手 <music_artists_user> 的 <music_albums_popular> 放 一下","1","3","","HCG-DJT"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Album by Artist User Artist","","歌星 <music_artists_user> 列表 <music_albums_popular> 听 一下","1","5","","HCG-DJT"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Artist","","放 <music_artists_user> 的 歌曲 <music_songs_popular>","0","2","","B92-SX9"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Artist","","放 一下 艺人 <music_artists_user> 的 曲子 <music_songs_popular>","0","3","","B92-SX9"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Artist","","<music_artists_user> 的 音乐 <music_songs_popular> 播放","1","3","","XVQ-8B7"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Artist","","歌手 <music_artists_user> 音乐 <music_songs_popular> 放 一 放","1","3","","XVQ-8B7"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Artist","","音乐家 <music_artists_user> 乐曲 <music_songs_popular> 听","1","5","","XVQ-8B7"
"Music","1.0","Unknown","Unknown",True,"Details","Details - Song by Artist User Artist","","歌星 <music_artists_user> 的 <music_songs_popular> 听 一下","1","4","","XVQ-8B7"
"Music","1.0","Unknown","Unknown",True,"Music Disambiguation - Album","Music Disambiguation - Select Album List","","第 <music_list_number> 个","0","0","","YSV-GXR"
"Music","1.0","Unknown","Unknown",True,"Music","Play Catch","","放 歌曲 <music_catch>","1","3","","48N-X8N"
"Music","1.0","Unknown","Unknown",True,"Music","Play Catch","","<music_catch> 乐曲 听 一下","1","5","","N86-2W7"
"Music","1.0","Unknown","Unknown",True,"Music","Play Album By Artist - User Album","","播放 歌手 <music_artists_popular> 专辑 <music_albums_user>","0","1","","RWK-V3S"
"Music","1.0","Unknown","Unknown",True,"Music","Play Album By Artist - User Album","","放 歌星 <music_artists_user> 的 专辑 <music_albums_user>","0","2","","RWK-V3S"
"Music","1.0","Unknown","Unknown",True,"Music","Play Album By Artist - User Album","","放 一下 歌手 <music_artists_user> 专辑 <music_albums_user>","0","2","","RWK-V3S"
"Music","1.0","Unknown","Unknown",True,"Music","Play Album By Artist - User Album","","<music_artists_user> 唱片 <music_albums_user> 放 一 放","1","3","","XS9-KNW"
"Music","1.0","Unknown","Unknown",True,"Music","Play Album By Artist - User Album","","艺人 <music_artists_user> 音乐 专辑 <music_albums_user> 听 一 听","1","4","","XS9-KNW"
"Music","1.0","Unknown","Unknown",True,"Music","Play Album By Artist - User Album","","歌手 <music_artists_user> 音乐 专辑 <music_albums_user> 播放","1","3","","XS9-KNW"
"Music","1.0","Unknown","Unknown",True,"Music","Play Album By Artist - User Album","","音乐家 <music_artists_user> 专辑 <music_albums_user> 放 一下","1","3","","XS9-KNW"
"Music","1.0","Unknown","Unknown",True,"Music","Play Album By Artist - User Album","","歌星 <music_artists_user> <music_albums_user> 听 一下","1","4","","XS9-KNW"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","播放 目前 音乐家 的 乐曲","0","4","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","播放 该 歌星 的 曲子","0","4","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","放 现在 艺人 的 歌曲","0","3","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","放 此 歌手 的 音乐","0","3","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","放 一 放 现在 音乐家 歌","0","5","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","放 一 放 此 歌星 音乐","0","5","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","放 一下 这个 艺人 乐曲","0","4","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","听 当前 歌手 曲子","0","3","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","听 这个 音乐家 歌曲","0","3","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","听 一 听 当前 歌星 音乐","0","2","","L3X-JL8"
"Music","1.0","Unknown","Unknown",True,"Music","Play Current Artist","","听 一 听 这个 歌星 的 歌","0","5","","L3X-JL8"
