Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多少 路程","0","0","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多少 路","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多少 公里","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多少 距离","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多少 远","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 长 路程","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 长 路","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 长 公里","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 长 距离","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 长 远","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 几 路程","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 几 路","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 几 公里","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 几 距离","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 几 远","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 路程","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 路","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 公里","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 距离","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 多 远","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多少 路程","0","0","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多少 路","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多少 公里","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多少 距离","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多少 远","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多 长 路程","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多 长 路","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多 长 公里","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多 长 距离","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多 长 远","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 几 路程","0","1","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 几 路","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 几 公里","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 几 距离","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 几 远","0","2","","CV1-FG3"
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","","还要 走 多 路程","0","1","","CV1-FG3"
