Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","<city> 下雨 大 不大","1","1","","GBD-1K2"
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","<city_international> 下雨 下 得 大","1","2","","GBD-1K2"
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","降雨量 大","0","2","","NDH-4SY"
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","降水量 高 不 高","0","4","","NDH-4SY"
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","雨量 强 不 强","0","4","","NDH-4SY"
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","<city> 降雨量 好 不好","0","3","","NDH-4SY"
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","<city> 降水量 怎样","0","2","","NDH-4SY"
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","<city> 雨量 什么 情况","0","2","","NDH-4SY"
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","<city_international> 降水量 多少","0","1","","NDH-4SY"
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","","<city_international> 雨量 多 大","0","2","","NDH-4SY"
"Weather","1.0","Unknown","Unknown",True,"Weather","Weather Conditions","","天气 什么 情况","0","1","","QPN-RZ5"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","气象","0","1","","5QP-272"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<city> 天气 预报","0","0","","5QP-272"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<city> 的 气象 怎么样","0","1","","5QP-272"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<city_international> 的 天气 怎样","0","1","","5QP-272"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<day> 气象 如何","1","3","","TRC-W6F"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<day_rel> 天气 什么 情况","1","2","","TRC-W6F"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<day> <city> 天气","1","1","","QTG-57G"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<day> <city> 的 气象 预报","1","2","","QTG-57G"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<day> <city_international> 的 天气 怎么样","1","1","","QTG-57G"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<day_rel> <city> 气象 怎样","1","3","","QTG-57G"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<day_rel> <city_international> 天气 如何","1","2","","QTG-57G"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<day_rel> <city_international> 的 气象 什么 情况","1","3","","QTG-57G"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<city> <day> 的 气象","1","2","","X54-VLM"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<city> <day_rel> 的 天气 预报","1","1","","X54-VLM"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<city_international> <day> 气象 怎么样","1","2","","X54-VLM"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<city_international> <day_rel> 天气 怎样","1","2","","X54-VLM"
"Weather","1.0","Unknown","Unknown",True,"Weather","Forecast","","<city_international> <day_rel> 的 气象 如何","1","3","","X54-VLM"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","外面 下 不下 大雨","0","1","","3PT-N2L"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","外边 下 下雨","0","2","","3PT-N2L"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","天 下 毛毛雨","0","3","","3PT-N2L"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","天气 有 小雨","0","2","","3PT-N2L"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day> 有 没有 大雨","1","3","","X2M-QZ6"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day> 外边 下 不下 下雨","1","2","","X2M-QZ6"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day> 天 下 不下 毛毛雨","1","3","","X2M-QZ6"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day> 天气 下 小雨","1","4","","X2M-QZ6"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day_rel> 有 大雨","1","2","","X2M-QZ6"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day_rel> 外面 有 没有 下雨","1","2","","X2M-QZ6"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day_rel> 外边 有 没有 毛毛雨","1","4","","X2M-QZ6"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day_rel> 天气 下 不下 小雨","1","3","","X2M-QZ6"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city> 下 不下 小雨 吗","1","2","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city> 有 没有 下雨","1","2","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city> <day> 下 大雨 吗","1","3","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city> <day> 有 没有 毛毛雨","1","3","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city> <day_rel> 有 下雨 吗","1","1","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city_international> 下 不下 小雨","1","2","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city_international> 有 毛毛雨 吗","1","2","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city_international> <day> 下 大雨","1","3","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city_international> <day> 有 没有 小雨 吗","1","3","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city_international> <day_rel> 有 下雨","1","1","","F9J-X79"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day> <city> 下 不下 毛毛雨","1","2","","MJ7-SFD"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day> <city_international> 下 小雨","1","3","","MJ7-SFD"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day_rel> <city> 有 大雨","1","2","","MJ7-SFD"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<day_rel> <city_international> 有 没有 下雨","1","2","","MJ7-SFD"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city> <day> 有 没有 毛毛雨","1","3","","MJ7-SFD"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city_international> <day> 下 不下 小雨","1","2","","MJ7-SFD"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Rain","","<city_international> <day_rel> 下 大雨","1","3","","MJ7-SFD"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","下 不下 小雪","0","1","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","有 下雪 呀","0","1","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","有 没有 小雪 啊","0","3","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","<day> 下 大雪 吗","0","2","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","<day> 有 没有 下雪","0","1","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","<day_rel> 下 不下 大雪 呀","0","2","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","<day_rel> 有 下雪 啊","0","1","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","<day_rel> 有 没有 小雪 吗","0","2","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","<day> 下 大雪","0","2","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","<day> 有 小雪 呀","0","2","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","<day> <day> 下 不下 大雪 啊","0","2","","2LR-6R9"
"Weather","1.0","Unknown","Unknown",True,"Weather","Condition Check - Snow","","<day> <day> 有 下雪 吗","0","0","","2LR-6R9"
